time,V_avg_machine,I_avg_machine,kW_machine,kvar_machine,kVA_machine,PF_machine,kWh_machine,kvarh_machine,kVAh_machine,V_avg_spindle,I_avg_spindle,kW_spindle,kvar_spindle,kVA_spindle,PF_spindle,kWh_spindle,kvarh_spindle,kVAh_spindle,RPM,Anomaly
2023-05-05 09:09:56,219.22499084472656,3.8115041255950928,1.1233406066894531,0.9109737277030944,1.4462943077087402,0.7767026424407959,15.129891395568848,12.797450065612791,19.81852149963379,353.5365905761719,4.3430256843566895,0.0968296974897384,1.5975524187088013,1.6004842519760132,0.0606159083545208,0.2048829495906829,1.8571652173995967,1.8816817998886108,3000,False
2023-05-05 09:09:57,219.2588348388672,3.814044713973999,1.1230400800704956,0.9113466143608092,1.4462958574295044,0.776494026184082,15.130202293395996,12.79770278930664,19.818923950195312,353.2039489746094,4.343918323516846,0.0969299226999282,1.5961434841156006,1.5990839004516602,0.0606159083545208,0.2049099057912826,1.8576085567474363,1.8821245431900024,3000,False
2023-05-05 09:09:58,219.2588348388672,3.814044713973999,1.1230400800704956,0.9113466143608092,1.4462958574295044,0.776494026184082,15.130202293395996,12.79770278930664,19.818923950195312,353.36181640625,4.349719524383545,0.0969299226999282,1.5949406623840332,1.5978833436965942,0.0606614500284194,0.2049368619918823,1.8580516576766968,1.8825675249099727,3000,False
2023-05-05 09:09:59,219.3220672607422,3.811128616333008,1.122740387916565,0.9118793606758118,1.4463989734649658,0.7762314677238464,15.130826950073242,12.798209190368652,19.81972885131836,353.7951965332031,4.357738971710205,0.0967296436429023,1.5944517850875854,1.5973832607269287,0.060555063188076,0.2049902081489563,1.8589375019073489,1.883455395698548,3000,False
2023-05-05 09:10:00,219.39833068847656,3.81152081489563,1.1228418350219729,0.9120755791664124,1.446601390838623,0.7761929631233215,15.131138801574709,12.798462867736816,19.82012939453125,353.638916015625,4.362401485443115,0.0967292636632919,1.5946524143218994,1.5975834131240845,0.0605472400784492,0.2050171643495559,1.85938048362732,1.8839002847671509,3000,False
2023-05-05 09:10:01,219.3956451416016,3.814659833908081,1.1228426694869995,0.9120758771896362,1.44660222530365,0.7761930823326111,15.131450653076172,12.79871654510498,19.820531845092773,353.48291015625,4.363803863525391,0.0966292023658752,1.5948591232299805,1.5977836847305298,0.0604770258069038,0.2050438374280929,1.85982346534729,1.8843451738357544,3000,False
2023-05-05 09:10:02,219.4330902099609,3.8218085765838623,1.122843623161316,0.9123947620391846,1.4468040466308594,0.7760854959487915,15.131762504577637,12.798970222473145,19.820934295654297,353.8424377441406,4.369298458099365,0.0966288149356842,1.5954599380493164,1.5983834266662598,0.0604540891945362,0.2050707936286926,1.8602665662765503,1.8847912549972528,3000,False
2023-05-05 09:10:03,219.3013458251953,3.815403938293457,1.123448133468628,0.912768542766571,1.4475089311599731,0.7761251926422119,15.13207721710205,12.799222946166992,19.821338653564453,353.7509765625,4.370756149291992,0.0967290326952934,1.596055269241333,1.5989837646484375,0.0604940690100193,0.2050977349281311,1.8607100248336792,1.885236978530884,3000,False
2023-05-05 09:10:04,219.3556365966797,3.820197343826294,1.124152421951294,0.9126991629600524,1.448011875152588,0.77634197473526,15.132390022277832,12.799476623535156,19.821741104125977,353.697998046875,4.377425670623779,0.0967290326952934,1.597258448600769,1.600184679031372,0.0604486688971519,0.2051249742507934,1.8611536026000977,1.885683536529541,3000,False
2023-05-05 09:10:05,219.396224975586,3.8118937015533447,1.1248564720153809,0.9127885103225708,1.4486148357391355,0.7765048742294312,15.13270378112793,12.79973030090332,19.822145462036133,353.6787414550781,4.382936000823975,0.0967288687825203,1.59856116771698,1.601485013961792,0.0603994838893413,0.2051516473293304,1.8615976572036743,1.886130452156067,3000,False
